objid,RA,DEC,z,mk,mw4
1.2376529442496184e+18,1.29757959935012,15.639548413558,0.05430622,12.922,8.407
1.2376529442496184e+18,1.29878480794054,15.6461693131424,0.05356275,11.888,6.107
1.2376639162647841e+18,118.11968912923,49.8386909652448,0.02165877,13.301,8.465
1.2376637874174036e+18,117.996146830352,49.8939427922358,0.02194649,13.156,8.635
1.2376621945223905e+18,172.317969845329,41.7761463445965,0.04566418,12.702,9.463
1.2376621945223905e+18,172.301327736805,41.7773835749611,0.04482999,11.876,8.907
1.237658492815016e+18,177.206101012227,9.99532918060931,0.08723094,12.633,8.62
1.237658492815016e+18,177.202611445834,9.99585780213867,0.08761129,11.509,8.848
1.237648722311381e+18,195.738209449446,0.731347460088209,0.06784864,13.054,7.116
1.237663783130825e+18,16.4405658002625,-0.75567942652405,0.06788746,12.229,8.861
1.2376677833778793e+18,200.529808760179,22.2491885200181,0.07138015,13.113,9.051
1.2376677833779446e+18,200.609827529683,22.2340295314595,0.07310455,12.804,8.075
1.2376632371283889e+18,50.2171776078955,-1.06320251063075,0.04073017,12.88,8.193
1.2376632371285852e+18,50.6493661331896,-1.05213622146868,0.04091124,12.571,5.585
1.237671261202678e+18,142.471772893017,12.8653473905224,0.07211793,13.152,9.096
1.2376712612026125e+18,142.449259001278,12.861447396244,0.07108182,12.758,8.897
1.2376674440432845e+18,181.011012635116,28.1833705452427,0.03094467,12.876,8.659
1.2376674440432845e+18,181.020517732212,28.1645417931961,0.03034369,11.281,8.803
1.2376652273055826e+18,185.32594511508,32.7110796335892,0.02296828,13.031,6.191
1.2376652273055826e+18,185.31958681493,32.7820736499982,0.02283337,12.785,7.665
1.2376653293266534e+18,214.22402035719,28.2396071446109,0.05527692,13.353,7.726
1.2376653293266537e+18,214.237778445896,28.254049647866,0.0552429,12.722,9.234
1.237661851480359e+18,218.451472771721,40.0941561997355,0.02597306,11.166,4.674
1.237661851480359e+18,218.445135958335,40.0809123505764,0.02545955,10.778,5.192
1.2376487029841595e+18,223.732909699065,-1.06730037819583,0.08361325,13.359,8.285
1.2376487029841595e+18,223.783865842457,-1.04805861680877,0.0837642,12.642,8.917
1.2376507618605138e+18,195.549145973764,-2.45120495000802,0.07847168,13.355,9.036
1.2376503704888934e+18,195.849317003454,-2.46521719028304,0.07931595,13.339,8.82
1.2376546536421458e+18,135.396798632508,49.3108773701095,0.02732358,13.334,7.659
1.2376546536421458e+18,135.380009596691,49.3254009749115,0.02733791,12.054,8.596
1.237662225129603e+18,151.724029463614,35.1084733573935,0.03825396,12.657,7.174
1.2376622251296033e+18,151.771190026615,35.1066389003996,0.0381103,12.616,7.595
1.2376606359938007e+18,151.939850037428,42.850174894444,0.07345288,13.273,8.828
1.2376606359938007e+18,151.927170802054,42.8686970134826,0.07205292,13.258,8.778
1.237668348670837e+18,210.176838057347,15.1698868312875,0.06276556,12.703,9.184
1.237668348670837e+18,210.174646545788,15.1626492238314,0.0628179,12.473,8.932
1.2376655317104722e+18,210.448834667709,24.9723339177473,0.07657716,13.122,9.227
1.237665531710407e+18,210.391516598,24.9860964069106,0.07675494,12.728,9.084
